communication_diff,emotional_openness_diff,social_nature_diff,independence_diff,family_orientation_diff,financial_attitude_diff,career_orientation_diff,adventure_diff,conflict_handling_diff,lifestyle_preference_diff,comm_x_conflict_diff,finance_x_career_diff,family_x_lifestyle_diff,mean_abs_diff,max_abs_diff,euclidean_distance,compatibility_score
39.93,22.51,6.05,31.41,5.12,16.94,3.56,20.88,12.5,42.51,4.99,0.6,2.18,20.14,42.51,76.48,75.58
15.94,37.68,12.12,25.86,25.56,4.55,18.55,13.71,7.54,7.8,1.2,0.84,1.99,16.93,37.68,61.76,83.2
13.05,12.97,10.31,21.76,22.58,2.9,2.52,23.99,12.5,3.25,1.63,0.07,0.73,12.58,23.99,46.75,88.29
0.78,21.07,6.22,9.75,14.16,37.86,28.87,12.13,25.2,17.29,0.2,10.93,2.45,17.33,37.86,64.24,84.02
3.18,14.46,33.13,10.47,11.15,8.92,31.88,21.38,34.25,18.54,1.09,2.84,2.07,18.74,34.25,67.98,82.72
11.71,3.21,7.21,55.76,18.39,14.87,9.14,40.35,7.31,19.92,0.86,1.36,3.66,18.79,55.76,77.66,82.39
3.32,22.08,0.97,22.36,14.07,47.19,13.4,7.79,22.43,10.96,0.74,6.32,1.54,16.46,47.19,65.49,83.44
35.75,6.05,12.8,24.08,19.26,34.85,52.28,42.75,0.63,42.42,0.23,18.22,8.17,27.09,52.28,100.02,77.84
10.2,10.47,8.15,8.38,11.6,27.85,27.87,7.74,9.47,4.42,0.97,7.76,0.51,12.62,27.87,46.97,85.05
7.34,17.27,13.48,34.15,23.49,1.85,8.28,5.57,26.13,16.24,1.92,0.15,3.81,15.38,34.15,57.46,81.65
15.35,22.7,19.43,24.57,11.27,19.45,10.15,15.25,15.02,16.71,2.31,1.97,1.88,16.99,24.57,55.48,83.56
3.9,8.26,31.05,20.11,40.15,0.94,5.22,50.42,10.04,0.51,0.39,0.05,0.2,17.06,50.42,75.73,83.61
12.31,18.66,24.46,1.66,30.84,41.99,21.88,12.71,21.21,24.23,2.61,9.19,7.47,21.0,41.99,74.11,75.2
20.81,11.71,28.1,0.36,5.11,6.87,21.76,14.06,10.15,33.92,2.11,1.49,1.73,15.29,33.92,57.95,83.82
6.6,9.52,3.49,10.86,8.35,18.62,19.16,33.26,31.95,22.4,2.11,3.57,1.87,16.42,33.26,60.63,83.16
15.02,7.24,37.43,0.25,13.29,20.45,31.43,14.58,2.28,41.89,0.34,6.43,5.57,18.38,41.89,72.34,84.99
19.62,11.58,39.53,18.12,7.91,11.66,32.26,24.63,11.81,20.86,2.32,3.76,1.65,19.8,39.53,69.5,83.77
36.84,30.97,7.84,0.76,22.37,21.8,4.59,8.55,5.68,5.5,2.09,1.0,1.23,14.49,36.84,59.25,79.61
6.55,7.0,20.48,20.43,1.18,8.44,6.14,10.14,15.3,30.69,1.0,0.52,0.36,12.63,30.69,48.14,86.42
16.23,23.0,22.78,10.26,17.55,4.11,21.62,46.88,15.47,10.3,2.51,0.89,1.81,18.82,46.88,68.94,84.84
3.27,10.19,1.17,24.9,21.98,16.22,1.51,7.95,16.37,16.04,0.54,0.24,3.53,11.96,24.9,45.53,88.28
13.34,4.79,5.87,9.31,28.66,27.55,8.1,38.66,10.94,20.24,1.46,2.23,5.8,16.75,38.66,63.19,81.54
8.16,15.97,18.25,13.64,0.66,32.17,1.07,5.53,20.81,13.26,1.7,0.34,0.09,12.95,32.17,50.17,86.37
15.22,9.65,26.49,8.73,40.93,1.55,2.12,6.24,5.32,29.95,0.81,0.03,12.26,14.62,40.93,61.23,82.65
0.0,6.34,24.75,12.39,3.98,29.52,4.52,6.02,26.01,15.27,0.0,1.33,0.61,12.88,29.52,51.57,86.17
24.05,23.99,4.62,2.18,23.31,38.41,45.67,17.91,14.48,0.9,3.48,17.54,0.21,19.55,45.67,76.26,77.59
10.64,23.63,25.8,9.59,31.27,15.67,27.02,43.7,9.73,17.62,1.04,4.23,5.51,21.47,43.7,75.48,81.34
20.37,7.13,39.61,21.33,14.46,17.76,0.92,5.18,37.24,28.26,7.59,0.16,4.09,19.23,39.61,72.3,79.4
21.07,37.69,34.12,2.29,3.34,19.78,25.72,4.96,11.67,8.63,2.46,5.09,0.29,16.93,37.69,65.83,80.29
6.51,19.16,14.63,29.0,39.59,32.84,10.21,12.32,9.29,51.41,0.6,3.35,20.35,22.5,51.41,84.23,77.11
2.65,5.41,37.59,4.54,30.42,25.28,19.36,12.41,8.69,30.62,0.23,4.89,9.31,17.7,37.59,67.65,87.89
26.57,30.28,17.09,32.38,28.17,11.32,5.18,11.04,12.16,0.63,3.23,0.59,0.18,17.48,32.38,64.67,82.6
14.21,7.91,12.41,12.65,34.66,1.2,1.06,6.14,3.35,1.05,0.48,0.01,0.36,9.46,34.66,42.81,83.11
1.7,35.12,21.86,47.77,40.07,1.52,26.76,43.17,12.76,27.44,0.22,0.41,11.0,25.82,47.77,95.39,80.07
20.12,50.67,14.92,48.09,12.77,4.75,4.85,29.54,37.48,11.64,7.54,0.23,1.49,23.48,50.67,90.16,75.83
7.04,13.48,14.9,18.25,5.12,23.16,43.1,46.77,4.06,12.49,0.29,9.98,0.64,18.84,46.77,74.61,82.98
11.25,8.45,47.61,17.84,17.95,19.55,18.21,3.02,19.3,0.8,2.17,3.56,0.14,16.4,47.61,64.82,82.36
13.65,27.96,17.67,7.17,17.55,28.59,3.38,8.73,0.28,3.35,0.04,0.97,0.59,12.83,28.59,50.56,88.77
6.36,28.24,23.81,1.07,34.14,20.74,5.09,27.19,1.54,26.4,0.1,1.06,9.01,17.46,34.14,66.83,84.45
12.7,30.82,11.46,31.41,18.75,12.07,10.36,50.0,0.0,28.35,0.0,1.25,5.32,20.59,50.0,78.35,85.62
3.23,8.78,3.79,2.59,2.69,5.96,16.43,8.32,8.78,7.49,0.28,0.98,0.2,6.8,16.43,24.97,95.81
6.66,8.32,20.11,1.5,43.34,10.97,32.72,18.72,28.48,5.46,1.9,3.59,2.37,17.63,43.34,69.14,82.76
0.85,7.44,44.3,20.91,11.56,34.99,17.9,35.8,11.25,32.24,0.1,6.26,3.73,21.72,44.3,81.13,82.41
3.6,2.59,4.23,6.44,25.58,3.07,9.47,0.0,11.69,7.24,0.42,0.29,1.85,7.39,25.58,31.96,91.57
0.7,16.27,2.72,4.99,22.47,3.0,42.07,20.45,16.0,19.39,0.11,1.26,4.36,14.81,42.07,60.26,87.84
4.13,12.08,25.6,21.99,46.84,12.28,10.39,2.26,2.2,21.56,0.09,1.28,10.1,15.93,46.84,65.03,84.34
6.2,30.02,22.74,8.77,0.14,23.2,12.4,16.16,8.51,19.67,0.53,2.88,0.03,14.78,30.02,54.28,86.31
1.51,44.76,5.67,17.0,18.01,39.95,14.7,6.97,8.91,16.26,0.13,5.87,2.93,17.37,44.76,69.68,79.93
12.64,6.46,22.28,33.49,16.07,22.47,3.16,11.1,21.86,2.69,2.76,0.71,0.43,15.22,33.49,56.58,82.92
22.57,5.05,1.78,11.63,9.33,9.26,9.85,18.6,4.53,25.78,1.02,0.91,2.41,11.84,25.78,44.43,86.59
9.4,12.48,11.4,16.77,0.36,9.15,8.19,6.21,3.06,16.19,0.29,0.75,0.06,9.32,16.77,33.41,87.26
9.49,3.03,26.35,4.5,11.85,18.71,1.07,29.04,0.08,9.0,0.01,0.2,1.07,11.31,29.04,47.22,87.33
3.43,32.12,5.87,43.34,7.22,33.1,11.23,55.86,18.66,23.03,0.64,3.72,1.66,23.39,55.86,90.72,79.92
0.78,7.38,4.16,8.95,0.51,11.99,15.71,13.91,9.21,16.06,0.07,1.88,0.08,8.87,16.06,32.86,93.44
18.31,15.44,8.31,9.55,14.37,7.96,13.94,29.58,20.15,40.24,3.69,1.11,5.78,17.79,40.24,64.02,80.03
2.53,69.48,33.72,32.98,49.01,14.57,41.57,34.0,23.66,37.35,0.6,6.06,18.31,33.89,69.48,120.46,65.62
12.2,20.51,5.17,40.09,29.5,4.22,36.58,10.92,17.21,4.25,2.1,1.54,1.25,18.07,40.09,69.74,81.35
9.71,10.11,18.1,1.15,25.99,32.71,33.14,31.41,9.57,48.95,0.93,10.84,12.72,22.08,48.95,82.72,81.81
17.41,5.0,14.85,32.28,26.17,1.93,12.66,2.6,23.34,45.32,4.06,0.24,11.86,18.16,45.32,71.03,80.99
29.92,13.24,43.43,8.97,19.33,3.69,22.72,35.61,25.8,9.65,7.72,0.84,1.87,21.24,43.43,77.25,77.74
39.25,40.95,2.45,20.17,3.47,4.31,11.4,7.06,22.72,0.56,8.92,0.49,0.02,15.23,40.95,66.01,77.76
17.12,27.7,29.49,4.78,14.5,2.87,34.17,10.78,1.25,10.78,0.21,0.98,1.56,15.34,34.17,59.77,88.62
16.86,18.79,8.9,19.71,11.25,16.52,18.57,13.41,0.57,11.57,0.1,3.07,1.3,13.61,19.71,46.51,86.54
1.54,2.81,12.98,0.43,14.81,1.43,12.01,16.23,16.59,21.55,0.26,0.17,3.19,10.04,21.55,39.34,90.45
20.59,29.84,0.47,39.59,4.28,10.66,6.32,5.86,2.56,15.49,0.53,0.67,0.66,13.57,39.59,57.74,88.78
4.81,21.61,13.19,20.44,7.28,21.59,3.23,0.75,8.81,3.51,0.42,0.7,0.26,10.52,21.61,41.26,88.54
6.47,6.1,11.46,32.35,2.74,0.99,24.74,5.32,10.44,27.76,0.68,0.24,0.76,12.84,32.35,52.78,90.98
14.33,17.41,35.93,37.62,34.69,5.72,23.28,53.47,7.39,22.55,1.06,1.33,7.82,25.24,53.47,91.73,83.14
8.11,5.61,31.45,40.25,23.06,15.1,15.33,17.41,13.26,15.79,1.08,2.31,3.64,18.54,40.25,66.55,83.52
33.71,7.94,23.58,19.83,9.64,30.67,5.2,25.8,29.66,38.47,10.0,1.59,3.71,22.45,38.47,78.96,74.01
3.64,3.39,8.83,21.58,35.16,24.95,27.4,22.8,0.34,1.61,0.01,6.84,0.57,14.97,35.16,60.83,85.93
1.82,11.12,21.48,13.09,11.6,4.22,40.15,14.46,5.38,19.14,0.1,1.69,2.22,14.25,40.15,55.93,88.81
29.39,13.1,18.79,11.72,20.42,38.3,7.35,22.93,9.04,26.91,2.66,2.82,5.5,19.79,38.3,69.24,77.74
19.04,2.69,12.42,13.61,4.7,14.25,19.94,34.43,21.44,20.18,4.08,2.84,0.95,16.27,34.43,58.17,80.83
10.48,8.45,16.96,6.22,12.77,15.11,2.54,5.63,16.23,17.88,1.7,0.38,2.28,11.23,17.88,39.0,90.66
7.27,12.36,28.46,30.83,28.26,4.45,20.65,39.7,9.83,27.64,0.71,0.92,7.81,20.95,39.7,75.15,85.08
10.02,0.3,16.48,14.97,20.7,9.13,6.88,17.89,29.04,11.47,2.91,0.63,2.37,13.69,29.04,49.5,87.47
25.28,10.59,10.42,10.24,3.7,14.85,40.76,4.57,27.23,22.71,6.88,6.05,0.84,17.04,40.76,64.33,79.38
11.3,13.13,17.39,0.17,11.53,36.89,6.09,16.55,21.8,6.12,2.46,2.25,0.71,14.1,36.89,54.03,80.1
2.63,21.44,57.97,7.75,18.39,12.86,12.47,32.47,14.63,41.69,0.38,1.6,7.67,22.23,57.97,86.91,83.89
18.96,22.38,56.86,9.74,14.5,7.89,14.62,8.08,7.58,21.75,1.44,1.15,3.15,18.24,56.86,72.6,83.61
28.3,13.1,42.51,29.53,15.18,24.82,25.76,7.89,11.03,21.35,3.12,6.39,3.24,21.95,42.51,76.17,80.35
21.88,3.83,13.56,25.9,24.16,11.28,3.31,7.47,20.49,30.85,4.48,0.37,7.45,16.27,30.85,59.14,83.96
17.9,21.58,15.98,3.95,3.69,6.09,35.14,14.7,3.55,2.89,0.64,2.14,0.11,12.55,35.14,50.79,87.09
7.09,19.33,6.22,18.83,35.95,17.44,14.72,32.2,5.03,28.86,0.36,2.57,10.38,18.57,35.95,67.27,83.38
36.81,16.81,30.87,1.43,20.4,46.44,21.1,17.76,19.63,27.63,7.23,9.8,5.64,23.89,46.44,84.11,68.15
12.22,45.36,38.26,32.69,22.29,0.64,22.77,11.23,15.28,27.16,1.87,0.15,6.05,22.79,45.36,82.78,81.43
22.93,27.1,4.55,6.75,15.61,48.03,4.7,0.53,8.3,6.74,1.9,2.26,1.05,14.53,48.03,63.36,80.23
11.1,22.37,9.95,3.11,0.31,34.86,30.07,42.42,0.59,0.0,0.07,10.48,0.0,15.48,42.42,68.2,84.72
26.07,23.28,54.12,21.28,18.32,8.25,1.16,6.94,1.89,6.93,0.49,0.1,1.27,16.82,54.12,71.47,86.87
7.24,27.22,13.78,11.44,0.0,1.64,17.32,25.8,10.99,29.21,0.8,0.28,0.0,14.46,29.21,55.28,90.19
5.09,5.0,20.42,30.33,54.64,15.54,12.32,38.36,3.23,39.72,0.16,1.91,21.7,22.47,54.64,88.47,81.69
7.3,5.22,8.73,30.07,25.66,25.97,0.91,26.28,3.06,17.15,0.22,0.24,4.4,15.04,30.07,58.22,88.97
1.72,17.11,1.8,0.64,13.65,47.02,31.53,3.54,17.12,30.93,0.29,14.83,4.22,16.51,47.02,70.38,79.4
10.53,26.95,7.67,17.76,10.63,35.23,12.89,28.42,23.14,11.62,2.44,4.54,1.24,18.48,35.23,64.88,80.56
7.06,11.89,12.75,2.15,20.61,17.28,7.9,8.95,25.65,30.66,1.81,1.37,6.32,14.49,30.66,53.12,84.65
13.06,17.33,5.22,36.47,26.85,5.35,29.2,5.59,9.69,20.95,1.27,1.56,5.63,16.97,36.47,63.2,78.15
4.16,17.86,0.64,3.1,19.03,12.32,16.5,3.3,1.02,10.92,0.04,2.03,2.08,8.88,19.03,35.55,89.16
13.05,18.77,3.8,3.47,3.11,24.54,11.47,5.42,27.99,25.98,3.65,2.81,0.81,13.76,27.99,52.73,83.87
22.33,12.16,6.08,18.97,36.58,30.73,60.0,19.31,1.57,4.09,0.35,18.44,1.5,21.18,60.0,85.54,81.47
0.14,4.38,29.66,25.77,30.75,14.77,30.45,43.74,13.42,12.2,0.02,4.5,3.75,20.53,43.74,76.79,83.21
6.56,10.35,11.8,17.8,18.76,11.4,7.19,17.74,20.6,22.26,1.35,0.82,4.18,14.45,22.26,48.73,87.8
24.07,21.82,18.27,18.58,32.54,4.53,3.37,12.77,7.93,32.2,1.91,0.15,10.48,17.61,32.54,63.94,82.72
1.17,0.27,0.24,20.62,26.3,9.45,9.82,6.45,14.44,7.55,0.17,0.93,1.99,9.63,26.3,40.14,86.97
5.3,20.74,10.63,32.12,57.56,18.56,10.71,41.32,13.23,20.38,0.7,1.99,11.73,23.06,57.56,87.6,78.55
6.68,14.66,29.1,8.68,26.42,13.21,5.37,34.2,0.85,4.15,0.06,0.71,1.1,14.33,34.2,57.19,87.21
22.19,32.43,12.75,17.93,27.98,21.39,8.48,47.46,31.45,39.94,6.98,1.81,11.18,26.2,47.46,90.42,75.61
5.78,10.38,6.21,14.6,13.62,32.25,21.9,12.61,0.64,28.16,0.04,7.06,3.84,14.62,32.25,55.23,87.38
12.75,5.98,2.27,8.48,0.28,5.72,48.79,12.92,0.08,24.15,0.01,2.79,0.07,12.14,48.79,58.64,88.48
12.31,24.47,2.27,25.03,14.4,23.15,6.29,27.53,0.0,33.37,0.0,1.46,4.81,16.88,33.37,63.53,85.12
12.76,18.71,63.35,8.49,13.71,27.48,25.21,37.8,2.9,5.55,0.37,6.93,0.76,21.6,63.35,87.44,79.27
32.31,7.31,1.12,29.45,20.97,2.55,11.08,3.34,3.48,7.6,1.12,0.28,1.59,11.92,32.31,51.14,86.12
12.86,8.72,16.12,40.84,23.41,18.15,19.62,20.92,15.97,42.45,2.05,3.56,9.94,21.91,42.45,76.98,77.58
12.02,26.41,19.52,44.22,34.47,0.52,21.63,66.58,12.43,3.04,1.49,0.11,1.05,24.09,66.58,97.12,79.63
12.36,5.5,10.47,9.19,6.23,1.55,18.85,30.03,16.12,5.96,1.99,0.29,0.37,11.63,30.03,44.4,89.09
16.05,10.34,28.23,24.49,35.78,0.0,22.65,7.01,22.46,12.1,3.6,0.0,4.33,17.91,35.78,65.23,84.67
0.0,24.04,6.19,31.81,26.66,6.8,25.39,0.75,6.07,30.5,0.0,1.73,8.13,15.82,31.81,63.23,84.66
18.19,10.73,14.7,7.9,22.49,24.5,32.54,17.57,10.92,27.76,1.99,7.97,6.24,18.73,32.54,63.94,77.98
7.39,20.93,11.32,0.84,17.27,2.51,10.46,18.05,0.35,13.42,0.03,0.26,2.32,10.25,20.93,39.26,90.77
9.59,8.25,23.18,26.55,27.89,9.48,0.3,22.2,18.09,24.42,1.73,0.03,6.81,17.0,27.89,60.72,85.87
3.77,23.08,36.03,9.61,5.05,39.8,5.1,20.38,1.23,12.61,0.05,2.03,0.64,15.66,39.8,64.4,86.64
23.0,1.54,57.28,52.69,41.6,8.93,6.45,31.08,2.61,40.08,0.6,0.58,16.67,26.53,57.28,104.98,77.84
33.65,31.84,27.16,15.15,20.69,19.73,19.69,6.13,17.31,43.65,5.82,3.88,9.03,23.5,43.65,81.0,74.97
10.46,5.3,16.46,8.8,9.55,17.08,17.25,35.51,22.79,11.66,2.38,2.95,1.11,15.49,35.51,55.52,82.65
24.53,18.48,42.46,23.78,19.97,5.77,4.25,51.68,9.5,35.44,2.33,0.25,7.08,23.59,51.68,88.2,79.37
7.62,3.7,13.84,39.11,24.42,11.03,18.18,14.11,12.08,3.6,0.92,2.01,0.88,14.77,39.11,56.57,85.27
1.27,16.87,16.51,21.73,3.55,12.51,2.09,24.84,22.33,11.44,0.28,0.26,0.41,13.31,24.84,49.51,86.5
13.41,15.75,25.21,17.21,31.99,45.12,3.61,36.07,0.22,54.52,0.03,1.63,17.44,24.31,54.52,93.3,75.6
11.51,15.97,1.97,13.45,40.75,15.37,14.12,21.46,30.81,14.38,3.55,2.17,5.86,17.98,40.75,65.46,76.72
7.44,11.73,51.48,3.98,23.3,44.16,5.92,46.93,21.11,43.57,1.57,2.61,10.15,25.96,51.48,99.66,73.15
16.76,29.52,21.39,9.22,50.68,13.16,12.31,23.85,22.45,24.72,3.76,1.62,12.53,22.4,50.68,79.19,74.56
6.35,7.79,15.24,13.74,19.89,1.54,17.26,1.08,10.47,27.74,0.66,0.27,5.52,12.11,27.74,45.8,86.22
35.49,33.54,13.95,6.71,13.71,6.62,2.28,12.84,8.63,28.16,3.06,0.15,3.86,16.19,35.49,62.4,78.2
37.12,17.94,10.73,24.88,35.67,12.14,17.5,34.55,32.76,29.62,12.16,2.12,10.57,25.29,37.12,85.47,70.93
6.97,2.66,17.49,53.02,7.35,4.85,25.83,39.79,21.51,18.31,1.5,1.25,1.35,19.78,53.02,79.36,86.34
3.49,5.45,37.65,21.3,12.96,6.14,8.83,31.48,32.11,36.45,1.12,0.54,4.72,19.59,37.65,74.49,78.72
37.7,13.06,0.15,21.15,0.24,16.68,28.48,17.5,12.65,0.06,4.77,4.75,0.0,14.77,37.7,59.96,82.19
1.71,21.3,11.04,22.4,10.45,39.31,10.41,13.63,20.94,13.99,0.36,4.09,1.46,16.52,39.31,60.52,77.53
12.84,17.01,17.64,6.72,4.44,34.98,14.51,17.9,12.12,34.37,1.56,5.08,1.53,17.25,34.98,62.55,80.59
5.4,14.43,2.86,5.62,47.96,16.9,32.52,34.95,0.55,40.02,0.03,5.5,19.19,20.12,47.96,82.12,78.74
18.81,12.25,2.82,12.21,0.41,11.5,10.27,2.55,7.23,7.12,1.36,1.18,0.03,8.52,18.81,31.76,91.46
15.92,46.04,12.85,27.37,1.15,24.92,6.36,36.56,31.52,24.85,5.02,1.58,0.29,22.75,46.04,83.05,73.46
15.01,12.97,6.44,15.09,25.76,16.05,6.23,21.07,14.83,0.96,2.23,1.0,0.25,13.44,25.76,47.82,86.01
1.0,0.32,2.26,22.19,2.59,2.54,10.94,0.89,41.19,5.58,0.41,0.28,0.14,8.95,41.19,48.58,88.95
18.94,3.12,18.75,26.32,34.48,0.9,2.47,54.54,12.8,17.96,2.42,0.02,6.19,19.03,54.54,77.9,81.11
14.01,33.97,17.23,9.69,13.95,4.34,26.15,4.25,10.56,6.2,1.48,1.13,0.86,14.03,33.97,52.98,85.89
9.65,15.49,21.59,52.45,28.41,3.9,15.95,25.23,46.42,2.55,4.48,0.62,0.72,22.16,52.45,86.17,77.21
19.55,33.17,12.78,14.65,19.11,0.51,5.3,20.62,4.71,2.94,0.92,0.03,0.56,13.33,33.17,52.06,86.74
15.87,18.1,20.73,17.16,24.61,12.45,7.91,46.55,3.59,45.03,0.57,0.98,11.08,21.2,46.55,79.59,78.8
8.72,16.31,22.3,28.1,0.84,18.7,0.63,10.69,46.79,4.79,4.08,0.12,0.04,15.79,46.79,65.62,79.19
22.61,11.42,0.94,21.26,37.17,2.41,35.02,9.84,23.86,18.15,5.39,0.84,6.75,18.27,37.17,68.58,81.52
1.27,2.78,16.08,19.58,22.17,6.56,28.36,34.67,12.05,21.22,0.15,1.86,4.7,16.48,34.67,61.55,85.8
13.15,4.95,4.04,6.96,18.11,12.85,18.35,4.39,3.72,4.88,0.49,2.36,0.88,9.14,18.35,33.9,90.49
2.29,0.94,2.55,54.36,25.71,8.06,21.33,53.18,22.21,63.24,0.51,1.72,16.26,25.39,63.24,107.09,78.26
8.82,43.0,22.91,17.14,4.23,12.19,5.46,23.15,13.55,10.47,1.2,0.67,0.44,16.09,43.0,61.41,82.01
37.74,0.64,4.46,17.47,39.87,66.1,0.67,18.33,14.98,0.19,5.65,0.44,0.08,20.04,66.1,90.94,72.76
27.16,17.91,5.77,22.44,30.29,1.99,15.08,21.32,1.94,16.6,0.53,0.3,5.03,16.05,30.29,58.98,85.85
19.71,12.56,1.02,25.0,13.76,26.26,2.46,22.84,6.84,1.65,1.35,0.65,0.23,13.21,26.26,51.27,85.89
12.64,9.09,36.72,24.72,18.76,20.48,0.95,48.9,11.46,11.29,1.45,0.19,2.12,19.5,48.9,75.0,82.55
8.95,13.44,8.24,10.78,30.45,0.0,6.21,33.04,20.74,11.36,1.86,0.0,3.46,14.32,33.04,55.33,87.38
17.68,6.37,4.08,0.89,12.06,7.39,19.21,4.6,1.03,4.66,0.18,1.42,0.56,7.8,19.21,31.36,90.7
10.96,34.38,32.22,4.03,10.84,13.02,11.05,0.37,22.19,8.84,2.43,1.44,0.96,14.79,34.38,57.76,84.61
26.5,4.71,44.91,1.67,19.31,21.82,20.36,2.02,12.19,0.39,3.23,4.44,0.08,15.39,44.91,64.5,82.64
17.53,12.81,9.31,12.52,36.23,5.87,23.32,10.24,10.95,13.13,1.92,1.37,4.76,15.19,36.23,54.79,80.4
20.37,36.16,11.9,7.91,34.61,13.26,13.12,0.99,3.88,4.42,0.79,1.74,1.53,14.66,36.16,59.23,78.43
10.98,22.18,19.88,6.95,9.96,1.39,27.03,6.26,4.14,12.73,0.45,0.38,1.27,12.15,27.03,45.9,87.58
19.99,8.2,21.45,20.37,38.38,13.27,21.72,0.04,4.36,14.86,0.87,2.88,5.7,16.26,38.38,60.85,84.07
24.83,10.42,31.91,17.79,6.85,0.99,18.07,24.11,22.42,35.92,5.57,0.18,2.46,19.33,35.92,69.34,79.5
2.26,0.2,0.44,7.6,12.66,8.51,29.18,26.55,17.32,12.83,0.39,2.48,1.62,11.76,29.18,48.13,88.41
15.3,28.18,16.25,0.13,0.96,7.87,15.51,21.12,18.12,9.55,2.77,1.22,0.09,13.3,28.18,49.62,87.85
20.22,1.95,7.31,16.77,2.56,1.35,27.65,9.96,9.7,16.18,1.96,0.37,0.41,11.36,27.65,44.44,86.17
2.92,15.28,12.64,16.42,27.85,6.28,8.25,33.77,10.99,18.04,0.32,0.52,5.02,15.24,33.77,56.04,83.86
4.61,12.41,41.61,9.13,20.23,48.83,4.12,28.29,28.11,6.96,1.3,2.01,1.41,20.43,48.83,80.24,79.1
14.26,18.82,13.38,0.84,10.5,20.03,24.06,32.0,5.12,24.57,0.73,4.82,2.58,16.36,32.0,59.0,82.47
0.0,4.26,6.8,4.19,4.75,13.38,1.05,10.62,5.03,5.78,0.0,0.14,0.27,5.59,13.38,21.36,94.81
5.21,12.96,25.38,17.65,11.12,14.93,13.08,24.53,3.53,11.88,0.18,1.95,1.32,14.03,25.38,49.23,90.66
14.35,1.36,19.1,35.65,47.18,14.19,1.63,22.96,6.72,49.09,0.96,0.23,23.16,21.22,49.09,85.18,80.84
13.24,45.89,1.81,53.39,34.78,7.5,20.93,18.38,42.07,27.48,5.57,1.57,9.56,26.55,53.39,98.5,73.53
22.38,42.7,3.37,17.16,17.64,57.24,4.6,55.52,43.12,43.69,9.65,2.63,7.71,30.74,57.24,114.41,63.92
2.04,15.94,48.5,14.39,32.89,34.48,29.84,39.31,8.08,28.95,0.16,10.29,9.52,25.44,48.5,91.8,81.38
7.06,23.72,24.43,5.05,0.0,19.2,7.73,20.19,4.49,8.36,0.32,1.48,0.0,12.02,24.43,46.48,88.4
23.94,28.83,40.3,4.79,24.37,21.43,18.56,41.29,2.57,42.92,0.62,3.98,10.46,24.9,42.92,89.46,76.92
16.34,6.5,12.94,6.21,11.39,24.36,18.63,15.57,8.81,11.04,1.44,4.54,1.26,13.18,24.36,45.03,85.89
22.15,29.91,2.89,11.84,5.25,7.83,15.53,2.54,19.49,19.19,4.32,1.22,1.01,13.66,29.91,51.17,83.42
18.03,15.88,21.87,8.1,49.02,23.64,28.38,17.58,17.3,4.76,3.12,6.71,2.33,20.45,49.02,74.29,79.31
4.26,29.41,13.31,10.89,53.47,9.11,27.13,48.54,9.62,17.43,0.41,2.47,9.32,22.32,53.47,87.23,79.41
10.67,5.6,28.67,2.61,11.57,16.24,14.9,20.88,12.94,3.19,1.38,2.42,0.37,12.73,28.67,46.98,92.43
13.03,5.49,3.79,1.4,8.95,1.36,7.34,18.29,0.0,41.37,0.0,0.1,3.7,10.1,41.37,48.97,92.73
10.29,1.73,8.76,29.5,1.67,5.72,7.62,10.05,2.67,24.9,0.27,0.44,0.42,10.29,29.5,43.33,92.07
0.82,32.99,6.71,15.83,4.04,11.54,46.92,8.64,5.47,20.81,0.04,5.41,0.84,15.38,46.92,65.37,85.57
11.14,21.39,22.55,5.94,7.99,7.18,15.95,0.66,3.74,12.8,0.42,1.15,1.02,10.93,22.55,40.91,88.67
28.13,2.91,14.79,10.29,2.25,6.73,2.78,5.39,6.5,9.47,1.83,0.19,0.21,8.93,28.13,36.66,90.13
1.36,7.77,14.22,2.37,2.19,40.34,11.36,12.02,31.42,6.9,0.43,4.58,0.15,12.99,40.34,56.66,84.78
7.55,22.84,3.71,33.68,53.89,25.32,27.13,34.31,6.22,5.83,0.47,6.87,3.14,22.05,53.89,85.2,80.22
7.06,18.26,34.91,49.72,27.23,7.1,23.47,41.71,20.99,30.96,1.48,1.67,8.43,26.14,49.72,92.49,81.29
27.72,13.57,4.83,7.57,29.07,10.16,29.33,37.35,11.02,46.35,3.05,2.98,13.47,21.7,46.35,80.67,78.91
15.95,20.5,12.87,4.19,3.63,15.69,3.86,0.36,17.25,9.41,2.75,0.61,0.34,10.37,20.5,38.97,87.44
6.0,23.9,14.43,15.55,8.16,15.63,14.04,8.45,14.42,5.09,0.87,2.19,0.42,12.57,23.9,43.25,87.4
7.75,22.34,29.56,1.27,47.82,24.27,29.06,53.96,10.16,7.98,0.79,7.05,3.82,23.42,53.96,90.74,81.18
3.58,23.01,18.4,18.53,21.16,15.27,5.03,2.47,6.21,0.35,0.22,0.77,0.07,11.4,23.01,44.44,89.9
18.24,4.49,46.43,11.32,8.09,47.06,11.45,17.36,4.38,51.02,0.8,5.39,4.13,21.99,51.02,89.29,74.95
31.16,0.75,6.34,58.7,0.99,0.63,6.07,17.66,37.0,17.93,11.53,0.04,0.18,17.72,58.7,80.61,81.09
8.03,0.98,9.47,17.94,20.35,26.02,12.11,4.86,26.92,0.65,2.16,3.15,0.13,12.73,26.92,49.63,83.06
